"Time","Goodput","Average Delay","# of consumers"
2022-11-14 17:53:40,68.700 Gb/s,0.770 ms,16
2022-11-14 17:53:41,67.035 Gb/s,0.757 ms,
2022-11-14 17:53:42,78.172 Gb/s,0.820 ms,
2022-11-14 17:53:43,66.298 Gb/s,0.723 ms,
2022-11-14 17:53:44,72.971 Gb/s,0.812 ms,
2022-11-14 17:53:45,73.112 Gb/s,0.762 ms,
2022-11-14 17:53:46,71.713 Gb/s,0.789 ms,
2022-11-14 17:53:47,72.709 Gb/s,0.816 ms,
2022-11-14 17:53:48,74.716 Gb/s,0.783 ms,
2022-11-14 17:53:49,74.531 Gb/s,0.724 ms,
2022-11-14 17:53:50,69.036 Gb/s,0.704 ms,16
2022-11-14 17:53:51,71.956 Gb/s,0.728 ms,
2022-11-14 17:53:52,65.910 Gb/s,0.683 ms,
2022-11-14 17:53:53,73.402 Gb/s,0.763 ms,
2022-11-14 17:53:54,74.333 Gb/s,0.671 ms,
2022-11-14 17:53:55,69.721 Gb/s,0.718 ms,
2022-11-14 17:53:56,67.485 Gb/s,0.583 ms,
2022-11-14 17:53:57,71.741 Gb/s,0.643 ms,
2022-11-14 17:53:58,73.281 Gb/s,0.567 ms,
2022-11-14 17:53:59,69.726 Gb/s,0.614 ms,
2022-11-14 17:54:00,72.840 Gb/s,0.676 ms,16
2022-11-14 17:54:01,73.775 Gb/s,0.539 ms,
2022-11-14 17:54:02,68.671 Gb/s,0.638 ms,
2022-11-14 17:54:03,70.557 Gb/s,0.602 ms,
2022-11-14 17:54:04,79.261 Gb/s,0.619 ms,
2022-11-14 17:54:05,67.163 Gb/s,0.637 ms,
2022-11-14 17:54:06,76.556 Gb/s,0.674 ms,
2022-11-14 17:54:07,74.422 Gb/s,0.615 ms,
2022-11-14 17:54:08,70.266 Gb/s,0.612 ms,
2022-11-14 17:54:09,70.839 Gb/s,0.630 ms,
2022-11-14 17:54:10,71.316 Gb/s,0.648 ms,16
2022-11-14 17:54:11,71.803 Gb/s,0.587 ms,
2022-11-14 17:54:12,75.113 Gb/s,0.647 ms,
2022-11-14 17:54:13,69.533 Gb/s,0.622 ms,
2022-11-14 17:54:14,72.171 Gb/s,0.680 ms,
2022-11-14 17:54:15,74.419 Gb/s,0.693 ms,
2022-11-14 17:54:16,66.912 Gb/s,0.667 ms,
2022-11-14 17:54:17,74.192 Gb/s,0.742 ms,
2022-11-14 17:54:18,68.681 Gb/s,0.741 ms,
2022-11-14 17:54:19,73.850 Gb/s,0.781 ms,
2022-11-14 17:54:20,65.647 Gb/s,0.668 ms,16
2022-11-14 17:54:21,71.397 Gb/s,0.727 ms,
2022-11-14 17:54:22,72.214 Gb/s,0.681 ms,
2022-11-14 17:54:23,69.418 Gb/s,0.638 ms,
2022-11-14 17:54:24,70.067 Gb/s,0.587 ms,
2022-11-14 17:54:25,74.462 Gb/s,0.649 ms,
2022-11-14 17:54:26,75.862 Gb/s,0.611 ms,
2022-11-14 17:54:27,72.506 Gb/s,0.628 ms,
2022-11-14 17:54:28,70.456 Gb/s,0.687 ms,
2022-11-14 17:54:29,72.942 Gb/s,0.655 ms,
2022-11-14 17:54:30,69.562 Gb/s,0.667 ms,16
2022-11-14 17:54:31,72.322 Gb/s,0.662 ms,
2022-11-14 17:54:32,69.602 Gb/s,0.638 ms,
2022-11-14 17:54:33,67.686 Gb/s,0.666 ms,
2022-11-14 17:54:34,69.112 Gb/s,0.613 ms,
2022-11-14 17:54:35,67.815 Gb/s,0.685 ms,
2022-11-14 17:54:36,76.902 Gb/s,0.583 ms,
2022-11-14 17:54:37,74.295 Gb/s,0.633 ms,
2022-11-14 17:54:38,74.313 Gb/s,0.637 ms,
2022-11-14 17:54:39,66.691 Gb/s,0.650 ms,
2022-11-14 17:54:40,68.039 Gb/s,0.617 ms,16
2022-11-14 17:54:41,71.566 Gb/s,0.649 ms,
2022-11-14 17:54:42,71.176 Gb/s,0.654 ms,
2022-11-14 17:54:43,72.305 Gb/s,0.647 ms,
2022-11-14 17:54:44,66.245 Gb/s,0.646 ms,
2022-11-14 17:54:45,71.458 Gb/s,0.626 ms,
2022-11-14 17:54:46,71.370 Gb/s,0.646 ms,
2022-11-14 17:54:47,70.865 Gb/s,0.657 ms,
2022-11-14 17:54:48,69.032 Gb/s,0.626 ms,
2022-11-14 17:54:49,71.744 Gb/s,0.664 ms,
2022-11-14 17:54:50,67.334 Gb/s,0.746 ms,16
2022-11-14 17:54:51,76.988 Gb/s,0.680 ms,
2022-11-14 17:54:52,72.141 Gb/s,0.736 ms,
2022-11-14 17:54:53,77.733 Gb/s,0.692 ms,
2022-11-14 17:54:54,71.033 Gb/s,0.625 ms,
2022-11-14 17:54:55,69.255 Gb/s,0.628 ms,
2022-11-14 17:54:56,68.603 Gb/s,0.667 ms,
2022-11-14 17:54:57,73.576 Gb/s,0.612 ms,
2022-11-14 17:54:58,79.939 Gb/s,0.583 ms,
2022-11-14 17:54:59,72.597 Gb/s,0.679 ms,
2022-11-14 17:55:00,68.223 Gb/s,0.639 ms,16
2022-11-14 17:55:01,70.458 Gb/s,0.726 ms,
2022-11-14 17:55:02,72.580 Gb/s,0.604 ms,
2022-11-14 17:55:03,72.384 Gb/s,0.694 ms,
2022-11-14 17:55:04,69.625 Gb/s,0.619 ms,
2022-11-14 17:55:05,73.849 Gb/s,0.661 ms,
2022-11-14 17:55:06,69.783 Gb/s,0.571 ms,
2022-11-14 17:55:07,68.686 Gb/s,0.586 ms,
2022-11-14 17:55:08,66.205 Gb/s,0.668 ms,
2022-11-14 17:55:09,72.363 Gb/s,0.632 ms,
2022-11-14 17:55:10,73.628 Gb/s,0.676 ms,16
2022-11-14 17:55:11,80.338 Gb/s,0.701 ms,
2022-11-14 17:55:12,68.059 Gb/s,0.675 ms,
2022-11-14 17:55:13,72.161 Gb/s,0.654 ms,
2022-11-14 17:55:14,74.632 Gb/s,0.654 ms,
2022-11-14 17:55:15,73.100 Gb/s,0.672 ms,
2022-11-14 17:55:16,76.034 Gb/s,0.631 ms,
2022-11-14 17:55:17,65.479 Gb/s,0.736 ms,
2022-11-14 17:55:18,69.348 Gb/s,0.715 ms,
2022-11-14 17:55:19,76.732 Gb/s,0.745 ms,
2022-11-14 17:55:20,69.051 Gb/s,0.722 ms,16
2022-11-14 17:55:21,74.372 Gb/s,0.641 ms,
2022-11-14 17:55:22,66.740 Gb/s,0.708 ms,
2022-11-14 17:55:23,72.609 Gb/s,0.693 ms,
2022-11-14 17:55:24,71.600 Gb/s,0.662 ms,
2022-11-14 17:55:25,73.879 Gb/s,0.692 ms,
2022-11-14 17:55:26,70.842 Gb/s,0.680 ms,
2022-11-14 17:55:27,66.852 Gb/s,0.673 ms,
2022-11-14 17:55:28,64.346 Gb/s,0.673 ms,
2022-11-14 17:55:29,70.829 Gb/s,0.702 ms,
2022-11-14 17:55:30,71.750 Gb/s,0.655 ms,16
2022-11-14 17:55:31,75.630 Gb/s,0.648 ms,
2022-11-14 17:55:32,70.837 Gb/s,0.650 ms,
2022-11-14 17:55:33,72.357 Gb/s,0.624 ms,
2022-11-14 17:55:34,75.036 Gb/s,0.582 ms,
2022-11-14 17:55:35,69.992 Gb/s,0.650 ms,
2022-11-14 17:55:36,72.472 Gb/s,0.698 ms,
2022-11-14 17:55:37,71.747 Gb/s,0.684 ms,
2022-11-14 17:55:38,70.153 Gb/s,0.685 ms,
2022-11-14 17:55:39,74.126 Gb/s,0.736 ms,
2022-11-14 17:55:40,62.417 Gb/s,0.728 ms,16
2022-11-14 17:55:41,71.728 Gb/s,0.717 ms,
2022-11-14 17:55:42,68.582 Gb/s,0.744 ms,
2022-11-14 17:55:43,71.656 Gb/s,0.744 ms,
2022-11-14 17:55:44,69.937 Gb/s,0.753 ms,
2022-11-14 17:55:45,70.902 Gb/s,0.735 ms,
2022-11-14 17:55:46,76.070 Gb/s,0.739 ms,
2022-11-14 17:55:47,72.323 Gb/s,0.732 ms,
2022-11-14 17:55:48,70.100 Gb/s,0.732 ms,
2022-11-14 17:55:49,71.571 Gb/s,0.653 ms,
2022-11-14 17:55:50,70.781 Gb/s,0.672 ms,16
2022-11-14 17:55:51,70.468 Gb/s,0.662 ms,
2022-11-14 17:55:52,69.714 Gb/s,0.645 ms,
2022-11-14 17:55:53,70.940 Gb/s,0.659 ms,
2022-11-14 17:55:54,70.484 Gb/s,0.662 ms,
2022-11-14 17:55:55,70.888 Gb/s,0.686 ms,
2022-11-14 17:55:56,76.349 Gb/s,0.663 ms,
2022-11-14 17:55:57,69.758 Gb/s,0.652 ms,
2022-11-14 17:55:58,71.658 Gb/s,0.642 ms,
2022-11-14 17:55:59,70.251 Gb/s,0.672 ms,
2022-11-14 17:56:00,69.022 Gb/s,0.669 ms,16
2022-11-14 17:56:01,74.945 Gb/s,0.659 ms,
2022-11-14 17:56:02,71.982 Gb/s,0.698 ms,
2022-11-14 17:56:03,66.517 Gb/s,0.632 ms,
2022-11-14 17:56:04,69.742 Gb/s,0.635 ms,
2022-11-14 17:56:05,69.791 Gb/s,0.634 ms,
2022-11-14 17:56:06,71.035 Gb/s,0.672 ms,
2022-11-14 17:56:07,74.745 Gb/s,0.647 ms,
2022-11-14 17:56:08,71.665 Gb/s,0.614 ms,
2022-11-14 17:56:09,73.970 Gb/s,0.628 ms,
2022-11-14 17:56:10,65.325 Gb/s,0.630 ms,16
2022-11-14 17:56:11,75.627 Gb/s,0.635 ms,
2022-11-14 17:56:12,72.319 Gb/s,0.722 ms,
2022-11-14 17:56:13,72.271 Gb/s,0.674 ms,
2022-11-14 17:56:14,72.171 Gb/s,0.655 ms,
2022-11-14 17:56:15,71.082 Gb/s,0.639 ms,
2022-11-14 17:56:16,67.625 Gb/s,0.670 ms,
2022-11-14 17:56:17,71.156 Gb/s,0.675 ms,
2022-11-14 17:56:18,70.937 Gb/s,0.656 ms,
2022-11-14 17:56:19,71.528 Gb/s,0.613 ms,
2022-11-14 17:56:20,69.258 Gb/s,0.581 ms,16
2022-11-14 17:56:21,70.001 Gb/s,0.597 ms,
2022-11-14 17:56:22,72.427 Gb/s,0.572 ms,
2022-11-14 17:56:23,72.845 Gb/s,0.545 ms,
2022-11-14 17:56:24,76.916 Gb/s,0.537 ms,
2022-11-14 17:56:25,75.753 Gb/s,0.566 ms,
2022-11-14 17:56:26,74.780 Gb/s,0.632 ms,
2022-11-14 17:56:27,70.810 Gb/s,0.584 ms,
2022-11-14 17:56:28,79.226 Gb/s,0.586 ms,
2022-11-14 17:56:29,75.701 Gb/s,0.572 ms,
2022-11-14 17:56:30,75.001 Gb/s,0.549 ms,16
2022-11-14 17:56:31,76.173 Gb/s,0.639 ms,
2022-11-14 17:56:32,76.429 Gb/s,0.583 ms,
2022-11-14 17:56:33,68.840 Gb/s,0.591 ms,
2022-11-14 17:56:34,68.796 Gb/s,0.682 ms,
2022-11-14 17:56:35,77.347 Gb/s,0.647 ms,
2022-11-14 17:56:36,75.089 Gb/s,0.612 ms,
2022-11-14 17:56:37,77.843 Gb/s,0.610 ms,
2022-11-14 17:56:38,70.330 Gb/s,0.581 ms,
2022-11-14 17:56:39,73.581 Gb/s,0.568 ms,
2022-11-14 17:56:40,65.873 Gb/s,0.642 ms,16
2022-11-14 17:56:41,74.414 Gb/s,0.610 ms,
2022-11-14 17:56:42,73.888 Gb/s,0.617 ms,
2022-11-14 17:56:43,75.325 Gb/s,0.609 ms,
2022-11-14 17:56:44,75.917 Gb/s,0.569 ms,
2022-11-14 17:56:45,70.033 Gb/s,0.607 ms,
2022-11-14 17:56:46,75.142 Gb/s,0.607 ms,
