name,time,mean_Bytes,mean_Data,mean_GoodPut,mean_Interest,mean_Throughput,mean_Time
sandie-sc19,2019-11-19T11:24:10Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:24:20Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:24:30Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:24:40Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:24:50Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:25:00Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:25:10Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:25:20Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:25:30Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:25:40Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:25:50Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:26:00Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:26:10Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:26:20Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:26:30Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:26:40Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:26:50Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:27:00Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:27:10Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:27:20Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:27:30Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:27:40Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:27:50Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:28:00Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:28:10Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:28:20Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:28:30Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:28:40Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:28:50Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:29:00Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:29:10Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:29:20Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:29:30Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:29:40Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:29:50Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:30:00Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:30:10Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:30:20Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:30:30Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:30:40Z,0,0,0,0,0,0
